Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockEmptyState.vue                                                                                                        | Vue                |         17 |          0 |          3 |         20 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockFilterBar.vue                                                                                                         | Vue                |         51 |          0 |          7 |         58 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockItemCard.vue                                                                                                          | Vue                |         89 |          4 |         15 |        108 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockItemCardSkeleton.vue                                                                                                  | Vue                |         32 |          4 |          7 |         43 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockStatsCard.vue                                                                                                         | Vue                |         30 |          0 |          8 |         38 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/stock_components/StockStatsCardSkeleton.vue                                                                                                 | Vue                |         18 |          0 |          2 |         20 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/About_Section_Accordion.vue                                                                                                              | Vue                |         47 |          1 |          5 |         53 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/AddShift_Popover.vue                                                                                                                     | Vue                |          9 |          0 |          7 |         16 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/BackgroundGrid.vue                                                                                                                       | Vue                |         11 |          0 |          2 |         13 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/ui/DummyStatsCard.vue                                                                                                                       | Vue                |         42 |          0 |          4 |         46 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/components/vapi/vapi_call_button.vue                                                                                                                   | Vue                |        108 |          0 |         20 |        128 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useAddLeaveRequestModal.ts                                                                                                                 | TypeScript         |         21 |          0 |          5 |         26 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useAddShiftModal.ts                                                                                                                        | TypeScript         |         25 |          4 |          5 |         34 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useAiRosterModal.ts                                                                                                                        | TypeScript         |         82 |          2 |         15 |         99 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useCompleted_Order_Modal.ts                                                                                                                | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useDraftShift.ts                                                                                                                           | TypeScript         |         70 |          1 |         16 |         87 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useEditShift.ts                                                                                                                            | TypeScript         |         27 |          0 |          4 |         31 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useEdit_Staff.ts                                                                                                                           | TypeScript         |         23 |          0 |          5 |         28 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useManage_Table_Modal.ts                                                                                                                   | TypeScript         |         28 |          1 |          6 |         35 |
| /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useOrderCart.ts                                                                                                                            | TypeScript         |         45 |          5 |         11 |         61 |
