"filename", "language", "TypeScript", "Vue", "XML", "PostCSS", "JSON", "JSON with Comments", "YAML", "Prisma", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useEdit_Staff.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useManage_Table_Modal.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useOrderCart.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 61
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useRoster.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 122
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useShiftMutation.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useSideBar.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useStaffDrag.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useTableId.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/composables/useWeekNavigation.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 85
"/Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt/app/layouts/Dashboard_layout.vue", "Vue", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31, 88
